Center Wavelength (nm),FWHM (nm)
6.261101684570313e-07,2.2366347473620774e-10
6.26468505859375e-07,1.831864603279277e-10
6.37513671875e-07,1.6472776004249409e-10
6.25249755859375e-07,1.914642065439687e-10
6.220885620117188e-07,1.5319523899305121e-10
6.256799926757813e-07,2.6722975191146384e-10
6.280794067382813e-07,1.8525508717298407e-10
6.251779785156251e-07,2.3753437413516866e-10
6.278289794921876e-07,3.0572746939802405e-10
6.300448608398438e-07,1.4942726368824415e-10
6.312579956054688e-07,2.362467004207546e-10
6.294020385742188e-07,2.4368604381987613e-10
6.342486572265626e-07,2.3282698255453768e-10
6.369820556640625e-07,2.10774739612015e-10
