Center Wavelength (nm),FWHM (nm)
6.163895874023438e-07,3.1889305882824955e-10
6.377969970703125e-07,2.0735002280263205e-10
6.3545654296875e-07,2.368022114626968e-10
6.313649291992188e-07,2.496473803946874e-10
6.352080078125001e-07,2.5759703303901615e-10
6.321490478515626e-07,4.1381519418070213e-10
6.295807495117188e-07,2.2390459646837038e-10
6.16895751953125e-07,1.5037548981298464e-10
6.189902343750001e-07,2.49071003125139e-10
6.160278930664063e-07,2.906179679997506e-10
6.145076293945313e-07,2.7612594347814575e-10
