Center Wavelength (nm),FWHM (nm)
6.382566528320313e-07,2.0727990456466826e-10
6.339757080078126e-07,2.5260295876562457e-10
6.349404296875001e-07,2.527813100136218e-10
6.357615966796875e-07,2.993318048818894e-10
6.347261352539063e-07,3.265110551718559e-10
6.372237548828126e-07,2.7001265813760207e-10
6.357615966796875e-07,2.380295091591155e-10
6.390750732421875e-07,1.9381205101542395e-10
6.406034545898438e-07,2.5537581224434263e-10
6.39146240234375e-07,2.6504023207892857e-10
6.191820678710938e-07,1.900947312521171e-10
