Center Wavelength (nm),FWHM (nm)
6.192427368164063e-07,1.509894296955512e-10
6.118967895507813e-07,1.5936932743104554e-10
6.067305297851563e-07,2.2307618071209393e-10
6.061835327148438e-07,1.7989305389352493e-10
6.059281616210938e-07,1.4930685576967253e-10
6.379386596679688e-07,3.121271308505735e-10
6.061835327148438e-07,2.5259835932224586e-10
6.069857788085938e-07,4.2789379775915193e-10
6.164981079101563e-07,1.6764456876093392e-10
6.2018017578125e-07,2.558492663621854e-10
6.239576416015625e-07,2.9448639388136514e-10
