Center Wavelength (nm),FWHM (nm)
6.306516723632813e-07,3.2986376149808544e-10
6.324696044921875e-07,1.7033997342912614e-10
6.333594970703125e-07,1.7800354271820398e-10
6.346751708984375e-07,2.4634687942336096e-10
6.256083374023438e-07,1.5455084983582462e-10
6.192067260742188e-07,1.4825906818485917e-10
6.285086059570313e-07,2.036983960683222e-10
6.276501464843751e-07,1.8990658485668592e-10
6.264326782226563e-07,1.5970284233232364e-10
6.311153564453125e-07,2.5690685417987797e-10
6.310796508789063e-07,2.5965507971789384e-10
