Center Wavelength (nm),FWHM (nm)
6.335466308593751e-07,2.4189495880041947e-10
6.417747192382813e-07,3.113036999501914e-10
6.428382568359375e-07,2.0967306725433868e-10
6.398218383789063e-07,2.2255419647075804e-10
6.3447607421875e-07,2.540052844334085e-10
6.338327026367188e-07,2.584542858158828e-10
6.356902465820313e-07,2.2914522707747903e-10
6.350119018554688e-07,3.162370096966255e-10
6.382921752929688e-07,2.6451673609187326e-10
6.2755712890625e-07,1.766555008461712e-10
6.362254028320313e-07,2.056966449495036e-10
6.388616943359375e-07,3.3028080285682594e-10
6.41419921875e-07,1.9180456863494841e-10
6.393240966796875e-07,2.4197275379885105e-10
