Center Wavelength (nm),FWHM (nm)
6.357259521484376e-07,2.0628580577239152e-10
6.357259521484376e-07,1.6341974088854298e-10
6.345475463867188e-07,2.1359371352378563e-10
6.398218383789063e-07,2.075331408706652e-10
6.365464477539063e-07,2.49934390704671e-10
6.38932861328125e-07,1.8524271382511833e-10
6.444668579101563e-07,1.7309515744196257e-10
6.431571655273437e-07,2.940034160089546e-10
6.457394409179688e-07,1.627539488078819e-10
6.452094116210938e-07,2.0615905898281294e-10
6.431571655273437e-07,2.427985441873175e-10
