Center Wavelength (nm),FWHM (nm)
6.346041259765626e-07,3.018843791089388e-10
6.364856567382812e-07,2.5600138747680583e-10
6.289733276367187e-07,1.9985269681071457e-10
6.35279052734375e-07,2.2630522069046014e-10
6.284013061523438e-07,5.468458411580603e-10
6.25249755859375e-07,2.7866251530518956e-10
6.29437744140625e-07,2.2603213426714589e-10
6.252138671875e-07,2.1387935695238268e-10
6.172932739257813e-07,1.4310225770212177e-10
6.20072021484375e-07,1.6261599211892643e-10
6.16895751953125e-07,1.4188579247880855e-10
6.20072021484375e-07,1.5066285299601215e-10
6.280436401367188e-07,2.0510580323058297e-10
6.268983154296875e-07,1.8689791711587627e-10
6.341064453125001e-07,2.1585674000644112e-10
6.280436401367188e-07,1.889330216979681e-10
