Center Wavelength (nm),FWHM (nm)
6.149784545898438e-07,1.8265539910679954e-10
6.141816406250001e-07,1.6046486731293393e-10
6.204324340820313e-07,1.6353926871864764e-10
6.216207885742188e-07,1.743820869873345e-10
6.215847778320313e-07,3.2657838945296037e-10
6.220525512695313e-07,2.061001828894236e-10
6.233110351562501e-07,2.2256494167138599e-10
6.228437500000001e-07,2.0124832313826445e-10
6.198557739257812e-07,2.7041133838106793e-10
6.21548828125e-07,2.7208164582493724e-10
6.206486206054688e-07,2.37977216008828e-10
6.192788696289062e-07,1.861150928905804e-10
6.190263671875e-07,2.5553648593660796e-10
