Center Wavelength (nm),FWHM (nm)
6.296052246093751e-07,2.2998453459726882e-10
6.373662719726563e-07,2.0271061425167009e-10
6.35297607421875e-07,1.958035464085777e-10
6.345117797851563e-07,1.9499741755942308e-10
6.342974243164063e-07,3.2478758072636e-10
6.332962646484375e-07,1.6436639055814717e-10
6.356902465820313e-07,1.6834844477881818e-10
6.33403564453125e-07,2.0143852216741543e-10
6.308250122070313e-07,1.7321391472957432e-10
6.320792236328126e-07,2.3096203715840499e-10
6.378294067382813e-07,2.2781613407061879e-10
6.328311157226563e-07,2.533131899426645e-10
