Center Wavelength (nm),FWHM (nm)
6.3204345703125e-07,1.6442445159980536e-10
6.302152709960938e-07,3.730850698809834e-10
6.356902465820313e-07,2.1905201559782045e-10
6.337969360351563e-07,1.754405031136395e-10
6.386837158203126e-07,3.1045368110176865e-10
6.382921752929688e-07,2.8316123918880395e-10
6.394662475585938e-07,2.0958767575443331e-10
6.4202294921875e-07,1.8091307323716187e-10
6.38648193359375e-07,3.035937380428491e-10
6.411715087890625e-07,2.2639123993751234e-10
6.447498168945313e-07,2.9561473332367974e-10
6.456334838867188e-07,1.5519517414927005e-10
6.478212890625e-07,1.90669040507248e-10
6.469397583007813e-07,1.5936503523759804e-10
