Center Wavelength (nm),FWHM (nm)
6.210447998046875e-07,3.252774685753651e-10
6.268266601562501e-07,1.8244176283821136e-10
6.260026855468751e-07,1.9060667169738574e-10
6.260026855468751e-07,2.403630273803202e-10
6.185211181640625e-07,2.1440257965758157e-10
6.22807861328125e-07,2.2059086168126415e-10
6.240294189453126e-07,2.4228638437168e-10
6.241731567382812e-07,3.8884637698985337e-10
6.3229150390625e-07,5.831531227643041e-10
6.244603271484375e-07,1.6288192665039234e-10
6.357406005859376e-07,1.6002882378804643e-10
6.16895751953125e-07,1.4571996584399057e-10
