Center Wavelength (nm),FWHM (nm)
6.444314575195313e-07,2.6630646171343307e-10
6.406034545898438e-07,2.106329277457323e-10
6.373306274414063e-07,1.8466581067319853e-10
6.374019165039062e-07,3.566040973318708e-10
6.394307861328126e-07,3.2056924134116607e-10
6.402837524414063e-07,2.838961728194806e-10
6.42306640625e-07,1.57764676905581e-10
6.39146240234375e-07,2.6253793587643225e-10
6.431926269531251e-07,2.580314724564186e-10
6.407454833984375e-07,3.039623489552095e-10
6.453154296875001e-07,1.9975034066316334e-10
6.452446899414063e-07,1.6351042607611921e-10
