Center Wavelength (nm),FWHM (nm)
6.277574462890625e-07,3.0414821785543294e-10
6.275785522460938e-07,2.878913760969167e-10
6.280794067382813e-07,1.6417347313081256e-10
6.267908935546875e-07,2.506662312160419e-10
6.278289794921876e-07,2.3834248484994027e-10
6.28580078125e-07,2.347938913605386e-10
6.276143188476562e-07,3.0225775116470934e-10
6.263968505859375e-07,2.1208595572179642e-10
6.334662475585938e-07,3.0569216948311785e-10
6.31721435546875e-07,3.346262817516419e-10
6.344974365234375e-07,1.8008285739578835e-10
6.319352416992188e-07,4.1370479477714445e-10
6.320421752929688e-07,2.5216367157570146e-10
