Center Wavelength (nm),FWHM (nm)
6.382921752929688e-07,2.0881539886869748e-10
6.340471801757813e-07,2.546478974425612e-10
6.349404296875001e-07,2.527813100136218e-10
6.357615966796875e-07,2.993318048818894e-10
6.347261352539063e-07,3.265110551718559e-10
6.372237548828126e-07,2.7001265813760207e-10
6.357615966796875e-07,2.380295091591155e-10
6.391107177734375e-07,2.102995031302083e-10
6.406034545898438e-07,2.5537581224434263e-10
6.406389770507813e-07,2.604818867643139e-10
6.39146240234375e-07,2.545158666398866e-10
